user_id,group_id,event_count,interest_vector
28,3,67,"0.085960;0.000000;0.001194;0.899551;0.002036;0.001015;0.001790;0.000000;0.002507;0.003146;0.001677;0.001124"
29,4,189,"0.004589;0.002766;0.001523;0.002754;0.948786;0.001471;0.000915;0.000778;0.002668;0.001516;0.028003;0.004231"
30,5,112,"0.000000;0.000000;0.000421;0.000000;0.068742;0.926875;0.000000;0.002226;0.000000;0.000000;0.000000;0.001736"
31,6,38,"0.002550;0.002501;0.003238;0.000000;0.002896;0.000000;0.920106;0.002369;0.000000;0.061786;0.001604;0.002952"
32,7,32,"0.143780;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.855103;0.000000;0.001117;0.000000;0.000000"
33,8,854,"0.000525;0.042346;0.000440;0.001294;0.000572;0.001474;0.001826;0.000987;0.946797;0.002218;0.000527;0.000994"
34,9,154,"0.000313;0.002220;0.000088;0.001027;0.000994;0.002723;0.001392;0.001036;0.000782;0.907106;0.001026;0.081292"
35,10,50,"0.000000;0.000000;0.000000;0.000000;0.000000;0.034348;0.000000;0.000000;0.000000;0.000000;0.965652;0.000000"
36,11,64,"0.000761;0.053852;0.002473;0.001911;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.941003"
37,0,67,"0.966132;0.000000;0.000000;0.000000;0.028293;0.000000;0.000760;0.000253;0.003769;0.000793;0.000000;0.000000"
38,1,216,"0.042163;0.957837;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
39,2,241,"0.001330;0.000000;0.862342;0.001294;0.000299;0.001147;0.129130;0.000243;0.001387;0.001623;0.000916;0.000291"
40,3,76,"0.000000;0.002618;0.003395;0.928547;0.000821;0.005770;0.003565;0.032256;0.000000;0.001369;0.000808;0.020850"
41,4,51,"0.000000;0.000000;0.004855;0.002436;0.922025;0.000000;0.061532;0.002354;0.000000;0.006798;0.000000;0.000000"
42,5,156,"0.003886;0.000844;0.002522;0.004738;0.001589;0.967601;0.001543;0.002524;0.011068;0.000000;0.002411;0.001274"
43,6,32,"0.000394;0.000000;0.006547;0.000000;0.000000;0.000000;0.921984;0.002185;0.000000;0.000728;0.000000;0.068162"
44,7,43,"0.001786;0.002220;0.000000;0.000000;0.000000;0.000000;0.002440;0.894205;0.000000;0.000000;0.000000;0.099349"
45,8,42,"0.000000;0.000000;0.000000;0.091172;0.000000;0.000000;0.000000;0.007991;0.895250;0.000775;0.000000;0.004812"
46,9,90,"0.001030;0.002721;0.001233;0.003067;0.000275;0.000732;0.015900;0.000000;0.001306;0.971443;0.002293;0.000000"
47,10,43,"0.000131;0.086821;0.002926;0.000000;0.000000;0.004642;0.000000;0.006978;0.000000;0.000000;0.896466;0.002036"
48,11,170,"0.000000;0.000000;0.034784;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.965216"
49,0,220,"0.941192;0.000191;0.001123;0.000778;0.000554;0.000751;0.002191;0.001377;0.050977;0.000386;0.000479;0.000000"
50,1,44,"0.005836;0.850842;0.005954;0.004190;0.000000;0.004068;0.002522;0.008649;0.000000;0.115304;0.000000;0.002636"
51,2,916,"0.000300;0.000380;0.892108;0.000610;0.001305;0.101463;0.000912;0.000807;0.000909;0.000592;0.000412;0.000204"
52,3,56,"0.089169;0.000000;0.004864;0.889621;0.000000;0.000597;0.005703;0.000000;0.006970;0.002430;0.000000;0.000645"
53,4,29,"0.000000;0.000000;0.000000;0.000000;0.877197;0.000000;0.000000;0.122803;0.000000;0.000000;0.000000;0.000000"
54,5,46,"0.000000;0.000000;0.000000;0.000000;0.000000;0.953721;0.046279;0.000000;0.000000;0.000000;0.000000;0.000000"
55,6,56,"0.000596;0.001052;0.000000;0.001550;0.072784;0.002997;0.907828;0.003675;0.000000;0.000000;0.005148;0.004370"
56,7,67,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.944299;0.000000;0.055701;0.000000;0.000000"
57,8,76,"0.000000;0.002115;0.174549;0.000000;0.000879;0.000547;0.001219;0.001984;0.817961;0.000140;0.000000;0.000607"
58,9,21,"0.000000;0.000000;0.000000;0.000000;0.002262;0.006798;0.000000;0.000000;0.000000;0.878371;0.000000;0.112570"
59,10,34,"0.000000;0.000000;0.001331;0.000000;0.000283;0.019260;0.000000;0.000000;0.002763;0.000000;0.973862;0.002502"
60,11,44,"0.001064;0.005691;0.003773;0.001607;0.003738;0.000000;0.000000;0.057906;0.000310;0.000000;0.000000;0.925910"
61,0,74,"0.897882;0.002903;0.001063;0.002672;0.005442;0.002589;0.000000;0.000000;0.002506;0.084201;0.000741;0.000000"
62,1,62,"0.000000;0.936792;0.003202;0.002321;0.001962;0.000000;0.000000;0.001841;0.004324;0.000000;0.000000;0.049557"
63,2,21,"0.000000;0.005424;0.950099;0.041176;0.000000;0.003301;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
64,3,42,"0.070662;0.004286;0.003253;0.913406;0.000829;0.000000;0.000000;0.005761;0.000000;0.000000;0.000000;0.001805"
65,4,198,"0.075113;0.000000;0.000000;0.000000;0.924887;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
66,5,60,"0.001161;0.000000;0.007293;0.000000;0.000299;0.955896;0.027582;0.001458;0.000000;0.002337;0.002651;0.001322"
67,6,26,"0.000000;0.003531;0.000000;0.003236;0.000000;0.021156;0.958061;0.000000;0.001312;0.003698;0.002413;0.006593"
68,7,153,"0.033159;0.001963;0.002727;0.002698;0.001245;0.001326;0.001895;0.946944;0.002102;0.001702;0.001004;0.003236"
69,8,67,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.083031;0.000000;0.916969;0.000000;0.000000;0.000000"
70,9,164,"0.000965;0.002800;0.000428;0.001043;0.001377;0.002570;0.001232;0.000957;0.078698;0.909674;0.000000;0.000257"
71,10,49,"0.000000;0.000000;0.000000;0.059748;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.940252;0.000000"
72,11,62,"0.003796;0.009086;0.003929;0.002363;0.002479;0.000000;0.003912;0.002344;0.012358;0.001095;0.005597;0.953043"
73,0,338,"0.913561;0.000000;0.000491;0.000000;0.000000;0.000000;0.085948;0.000000;0.000000;0.000000;0.000000;0.000000"
74,1,152,"0.003119;0.961954;0.001714;0.001168;0.000123;0.001283;0.026869;0.000000;0.001014;0.000000;0.001928;0.000828"
75,2,243,"0.002244;0.003039;0.941116;0.004545;0.002868;0.001914;0.007359;0.025862;0.002479;0.004068;0.004046;0.000461"
76,3,49,"0.003572;0.001438;0.000679;0.885353;0.000000;0.000000;0.000000;0.006257;0.002815;0.001637;0.000926;0.097323"
77,4,50,"0.000000;0.068660;0.000199;0.000000;0.924209;0.003185;0.001492;0.000000;0.000000;0.000000;0.002256;0.000000"
78,5,22,"0.000000;0.004394;0.008134;0.000000;0.000317;0.857081;0.000000;0.000000;0.062057;0.000000;0.000000;0.068018"
79,6,42,"0.000515;0.000000;0.002817;0.000000;0.000000;0.000000;0.889068;0.000069;0.000000;0.106793;0.000739;0.000000"
80,7,41,"0.000000;0.000000;0.000000;0.000000;0.002188;0.000000;0.026811;0.969333;0.000000;0.000000;0.000000;0.001668"
81,8,65,"0.002176;0.001384;0.000000;0.003308;0.001346;0.000000;0.002811;0.047523;0.940007;0.000000;0.000000;0.001445"
82,9,37,"0.043102;0.007105;0.000000;0.005026;0.000000;0.000000;0.004577;0.000000;0.003981;0.926585;0.006321;0.003304"
83,10,144,"0.001500;0.004372;0.000939;0.004428;0.014609;0.002369;0.001804;0.005900;0.003803;0.002037;0.896011;0.062229"
84,11,202,"0.003594;0.002111;0.002556;0.001723;0.003513;0.005936;0.004310;0.002885;0.075123;0.004001;0.001421;0.892827"
85,0,371,"0.925383;0.002701;0.004100;0.003718;0.002957;0.003269;0.004925;0.002122;0.040176;0.005473;0.003439;0.001737"
86,1,25,"0.005553;0.942106;0.000000;0.000000;0.000000;0.000000;0.010373;0.000000;0.000000;0.036101;0.000000;0.005867"
87,2,54,"0.000000;0.000000;0.972644;0.000000;0.002559;0.000000;0.000000;0.000000;0.000000;0.024797;0.000000;0.000000"
88,3,33,"0.000000;0.005641;0.011623;0.888689;0.005781;0.004090;0.009560;0.004259;0.062376;0.000000;0.007982;0.000000"
89,4,235,"0.001883;0.001283;0.000000;0.129829;0.854593;0.000759;0.001524;0.002208;0.002423;0.005323;0.000000;0.000176"
90,5,44,"0.000000;0.000000;0.000000;0.000000;0.000000;0.974652;0.022575;0.000586;0.000000;0.000000;0.002188;0.000000"
91,6,58,"0.000672;0.000000;0.000000;0.000000;0.000000;0.000000;0.968622;0.000000;0.027945;0.000000;0.002761;0.000000"
92,7,219,"0.005767;0.002207;0.002544;0.001161;0.000469;0.001466;0.003742;0.937839;0.037885;0.002569;0.002900;0.001452"
93,8,40,"0.012275;0.000000;0.000608;0.003488;0.000000;0.000000;0.000000;0.000000;0.903610;0.001284;0.077572;0.001163"
94,9,138,"0.000000;0.001311;0.000315;0.001036;0.001735;0.001085;0.000000;0.001840;0.068157;0.921123;0.000869;0.002529"
95,10,64,"0.001595;0.000000;0.000000;0.000429;0.002952;0.001044;0.000000;0.000000;0.000000;0.008848;0.983172;0.001960"
96,11,65,"0.000000;0.000000;0.000414;0.001202;0.000000;0.001892;0.000000;0.000000;0.000000;0.046875;0.000000;0.949618"
97,0,55,"0.896967;0.074999;0.003210;0.003041;0.000440;0.002154;0.002025;0.002347;0.003156;0.004248;0.000000;0.007413"
98,1,53,"0.000000;0.935135;0.000265;0.000000;0.000000;0.061352;0.000000;0.000000;0.003248;0.000000;0.000000;0.000000"
99,2,50,"0.000000;0.000000;0.924731;0.002028;0.000000;0.000000;0.001811;0.000000;0.000000;0.000000;0.071431;0.000000"
100,3,124,"0.059149;0.002005;0.000802;0.921758;0.001334;0.001861;0.003487;0.001597;0.000942;0.000524;0.001961;0.004579"
101,4,38,"0.000000;0.000000;0.000000;0.036157;0.954447;0.004027;0.000000;0.000000;0.005369;0.000000;0.000000;0.000000"
102,5,77,"0.000000;0.000000;0.000000;0.000000;0.000000;0.941150;0.000000;0.002817;0.000000;0.056033;0.000000;0.000000"
103,6,113,"0.085705;0.002228;0.001879;0.000708;0.019051;0.002328;0.874519;0.000645;0.004958;0.004571;0.002486;0.000924"
104,7,34,"0.000000;0.000000;0.000000;0.000000;0.162758;0.000000;0.000000;0.837242;0.000000;0.000000;0.000000;0.000000"
105,8,511,"0.000510;0.001732;0.001528;0.001471;0.021863;0.001920;0.001533;0.000394;0.965366;0.000337;0.002360;0.000985"
106,9,57,"0.074188;0.000768;0.003178;0.003843;0.001349;0.002326;0.001707;0.000000;0.004023;0.905437;0.000528;0.002653"
107,10,79,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000648;0.000000;0.058500;0.940852;0.000000"
108,11,68,"0.002893;0.002119;0.002862;0.002670;0.001798;0.007867;0.000000;0.003204;0.002065;0.001757;0.064022;0.908743"
109,0,55,"0.939941;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060059;0.000000;0.000000;0.000000;0.000000"
110,1,67,"0.000000;0.934161;0.000000;0.000000;0.000000;0.000000;0.000000;0.065839;0.000000;0.000000;0.000000;0.000000"
111,2,26,"0.000000;0.046203;0.949134;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.004663;0.000000"
112,3,54,"0.000923;0.012392;0.000000;0.978416;0.000414;0.004279;0.000000;0.002334;0.000000;0.000000;0.001243;0.000000"
113,4,43,"0.006086;0.000000;0.004757;0.008507;0.916289;0.000000;0.045180;0.005604;0.005276;0.000000;0.002564;0.005738"
114,5,40,"0.000000;0.000000;0.000000;0.041305;0.000000;0.950410;0.000942;0.000000;0.000000;0.004515;0.002827;0.000000"
115,6,68,"0.000000;0.000000;0.045465;0.000000;0.000000;0.000000;0.951427;0.000000;0.002007;0.000000;0.001101;0.000000"
116,7,40,"0.000000;0.000000;0.000000;0.000000;0.002458;0.000000;0.001395;0.950114;0.000000;0.000000;0.000000;0.046033"
117,8,35,"0.000000;0.000000;0.000000;0.001583;0.000000;0.000000;0.000000;0.000528;0.974167;0.015429;0.008293;0.000000"
118,9,129,"0.002001;0.002463;0.001094;0.000921;0.002430;0.000000;0.017789;0.004282;0.004754;0.957181;0.002231;0.004854"
119,10,83,"0.001036;0.008278;0.001172;0.031587;0.005751;0.001086;0.000000;0.001644;0.001454;0.005354;0.940789;0.001848"
120,11,68,"0.000000;0.000000;0.002129;0.001919;0.002555;0.000000;0.000000;0.000000;0.002196;0.000000;0.029576;0.961624"
121,0,37,"0.969738;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.030262;0.000000;0.000000;0.000000"
122,1,241,"0.001544;0.932165;0.000000;0.060955;0.000946;0.001361;0.000234;0.000000;0.000427;0.001855;0.000513;0.000000"
123,2,45,"0.001488;0.000000;0.839669;0.154077;0.000000;0.001136;0.000000;0.000000;0.000000;0.002471;0.000000;0.001160"
124,3,81,"0.004610;0.002145;0.062635;0.924441;0.001370;0.000000;0.002240;0.000434;0.000000;0.000000;0.001260;0.000864"
125,4,63,"0.000000;0.053033;0.000000;0.000000;0.944567;0.000789;0.000000;0.000627;0.000555;0.000000;0.000000;0.000429"
126,5,76,"0.000000;0.003367;0.003041;0.002682;0.001846;0.950792;0.004185;0.003992;0.024562;0.000856;0.002269;0.002409"
127,6,35,"0.000000;0.000000;0.000000;0.078258;0.000000;0.003120;0.918310;0.000311;0.000000;0.000000;0.000000;0.000000"
128,7,23,"0.000000;0.001285;0.000171;0.000000;0.000000;0.000000;0.004102;0.970312;0.000000;0.000000;0.000000;0.024130"
129,8,40,"0.104752;0.000000;0.003749;0.000000;0.000000;0.004515;0.003257;0.002395;0.873387;0.003529;0.001268;0.003148"
130,9,217,"0.000571;0.000437;0.000000;0.000229;0.000339;0.000090;0.000343;0.000000;0.000210;0.888759;0.000000;0.109021"
131,10,230,"0.002167;0.115994;0.004127;0.001894;0.001942;0.002800;0.001232;0.003011;0.001248;0.002648;0.861332;0.001605"
132,11,39,"0.005181;0.000000;0.030132;0.000000;0.000000;0.003534;0.002022;0.000000;0.005417;0.006358;0.010899;0.936457"
133,0,55,"0.947608;0.001716;0.000670;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.050007;0.000000;0.000000"
134,1,56,"0.000000;0.939375;0.000000;0.000000;0.000000;0.060625;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
135,2,918,"0.001903;0.019133;0.949398;0.004054;0.003033;0.002352;0.003287;0.003286;0.003554;0.005439;0.002391;0.002169"
136,3,506,"0.000147;0.000000;0.000076;0.935842;0.000158;0.000230;0.000000;0.062697;0.000293;0.000000;0.000341;0.000216"
137,4,204,"0.000338;0.000523;0.051082;0.000915;0.939205;0.001034;0.002010;0.000861;0.001358;0.001044;0.000366;0.001264"
138,5,65,"0.006696;0.002487;0.000422;0.000000;0.000000;0.924956;0.003929;0.002407;0.000896;0.051069;0.000692;0.006449"
139,6,196,"0.051216;0.001296;0.002942;0.001901;0.000485;0.003114;0.926727;0.000000;0.003672;0.003096;0.001862;0.003688"
140,7,161,"0.000100;0.000661;0.000859;0.000772;0.001624;0.002782;0.001099;0.874809;0.001310;0.002838;0.002507;0.110639"
141,8,61,"0.000000;0.003955;0.005584;0.000792;0.008190;0.000000;0.000000;0.002359;0.960589;0.015024;0.003507;0.000000"
142,9,100,"0.001043;0.001678;0.000000;0.000000;0.001671;0.062944;0.000000;0.000000;0.003546;0.927095;0.002023;0.000000"
143,10,29,"0.000000;0.002982;0.000000;0.000000;0.056149;0.006255;0.004294;0.005382;0.002681;0.000000;0.922256;0.000000"
144,11,73,"0.003048;0.003510;0.026850;0.000959;0.000609;0.001446;0.003290;0.004871;0.005419;0.003946;0.003841;0.942210"
145,0,233,"0.928602;0.062217;0.000826;0.000295;0.000333;0.000697;0.000869;0.001029;0.001634;0.001043;0.001666;0.000789"
146,1,446,"0.000294;0.963745;0.000222;0.000326;0.000160;0.000115;0.033505;0.000300;0.000861;0.000472;0.000000;0.000000"
147,2,56,"0.003878;0.054854;0.925793;0.000000;0.003081;0.002544;0.000000;0.000000;0.000000;0.002053;0.002868;0.004929"
148,3,166,"0.000736;0.001284;0.000000;0.915896;0.000000;0.079478;0.000733;0.000298;0.000424;0.000000;0.000000;0.001152"
149,4,37,"0.001329;0.000000;0.014586;0.001412;0.978238;0.000525;0.000000;0.000000;0.000856;0.000000;0.000000;0.003054"
150,5,39,"0.000000;0.000000;0.000000;0.002134;0.002399;0.838214;0.157253;0.000000;0.000000;0.000000;0.000000;0.000000"
151,6,234,"0.000167;0.040099;0.000572;0.000047;0.000829;0.000511;0.954944;0.000325;0.000965;0.000560;0.000000;0.000981"
152,7,154,"0.002537;0.000871;0.000885;0.002886;0.049871;0.002883;0.002551;0.924369;0.001992;0.002991;0.003057;0.005106"
153,8,62,"0.005852;0.000745;0.007091;0.002405;0.014086;0.005845;0.009432;0.000000;0.946244;0.006579;0.001721;0.000000"
154,9,50,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.026474;0.000000;0.973526;0.000000;0.000000"
155,10,79,"0.000000;0.000000;0.000000;0.000000;0.170307;0.000000;0.000000;0.000000;0.000000;0.000000;0.829693;0.000000"
156,11,66,"0.000000;0.000000;0.001870;0.001883;0.001691;0.001597;0.038283;0.000000;0.000532;0.000000;0.001516;0.952628"
157,0,224,"0.937396;0.001691;0.000765;0.051152;0.002002;0.001034;0.001184;0.000128;0.000916;0.001035;0.000935;0.001762"
158,1,76,"0.005506;0.936944;0.002923;0.019516;0.004816;0.004275;0.009238;0.004167;0.005439;0.001781;0.001635;0.003759"
159,2,64,"0.116243;0.000000;0.883757;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
160,3,22,"0.000000;0.000000;0.000000;0.950328;0.003800;0.044248;0.000000;0.001624;0.000000;0.000000;0.000000;0.000000"
161,4,29,"0.000327;0.005230;0.024907;0.000000;0.958702;0.000000;0.000000;0.006065;0.000000;0.000000;0.001671;0.003097"
162,5,23,"0.000000;0.002639;0.007868;0.003633;0.001696;0.939672;0.044140;0.000000;0.000000;0.000000;0.000352;0.000000"
163,6,59,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.934343;0.000000;0.000000;0.000000;0.000000;0.065657"
164,7,26,"0.007940;0.027009;0.006983;0.004622;0.000000;0.005774;0.024430;0.900579;0.007623;0.000000;0.003965;0.011075"
165,8,86,"0.000000;0.028770;0.000052;0.000219;0.000000;0.000000;0.000000;0.002281;0.968118;0.000000;0.000559;0.000000"
166,9,29,"0.000000;0.004201;0.000000;0.000000;0.000000;0.000000;0.000000;0.005153;0.000000;0.859101;0.131545;0.000000"
167,10,75,"0.001104;0.002092;0.000889;0.001269;0.001744;0.000000;0.000147;0.015830;0.000000;0.000594;0.976332;0.000000"
168,11,61,"0.000944;0.003201;0.037538;0.002861;0.000000;0.000000;0.000000;0.007265;0.001671;0.001453;0.003446;0.941620"
169,0,117,"0.919813;0.001867;0.002542;0.001266;0.004000;0.002895;0.002753;0.003879;0.052288;0.002826;0.002009;0.003862"
170,1,22,"0.004776;0.919955;0.045085;0.000000;0.000000;0.000000;0.000000;0.000000;0.010268;0.013097;0.004728;0.002091"
171,2,78,"0.001527;0.000734;0.973406;0.000000;0.000327;0.003956;0.000276;0.000000;0.001856;0.017917;0.000000;0.000000"
172,3,226,"0.000000;0.000338;0.000157;0.922895;0.000000;0.000000;0.000294;0.074970;0.000249;0.000206;0.000619;0.000271"
173,4,63,"0.000000;0.000000;0.000000;0.000000;0.915343;0.000000;0.000000;0.082887;0.000000;0.000972;0.000419;0.000378"
174,5,28,"0.000000;0.000000;0.000000;0.000000;0.000000;0.979055;0.000000;0.000000;0.000000;0.020945;0.000000;0.000000"
175,6,118,"0.065442;0.001245;0.003434;0.000000;0.000000;0.002415;0.920351;0.000114;0.000954;0.002828;0.001295;0.001923"
176,7,63,"0.000000;0.004721;0.003933;0.003685;0.024719;0.000000;0.002554;0.934948;0.001685;0.018849;0.004355;0.000550"
177,8,47,"0.000000;0.003486;0.000000;0.002881;0.000000;0.000000;0.004219;0.000000;0.964107;0.021018;0.004289;0.000000"
178,9,240,"0.002376;0.001015;0.071701;0.002479;0.001353;0.002200;0.000369;0.001617;0.000697;0.913165;0.001849;0.001178"
179,10,99,"0.001301;0.092070;0.000623;0.000000;0.000000;0.001316;0.000297;0.001283;0.000592;0.000666;0.901577;0.000276"
180,11,57,"0.006202;0.006901;0.026378;0.000000;0.000228;0.003153;0.001932;0.000000;0.006198;0.003851;0.009475;0.935682"
181,0,52,"0.810885;0.000000;0.000000;0.000000;0.000000;0.003141;0.000000;0.000000;0.000000;0.000000;0.185974;0.000000"
182,1,45,"0.000000;0.937601;0.000970;0.000000;0.058788;0.000000;0.000000;0.000000;0.002641;0.000000;0.000000;0.000000"
183,2,218,"0.000820;0.001361;0.912925;0.001072;0.001388;0.000603;0.002572;0.000143;0.001529;0.000939;0.074981;0.001667"
184,3,21,"0.000000;0.000000;0.002723;0.867072;0.115106;0.000958;0.000000;0.007030;0.000000;0.007111;0.000000;0.000000"
185,4,64,"0.000000;0.000000;0.003402;0.069525;0.921505;0.000598;0.001603;0.000000;0.000000;0.000000;0.001614;0.001752"
186,5,30,"0.000000;0.000000;0.000000;0.000000;0.000000;0.863376;0.000000;0.000000;0.000000;0.000000;0.002680;0.133944"
187,6,67,"0.000000;0.000000;0.046884;0.001053;0.000701;0.001619;0.944222;0.000000;0.000000;0.001991;0.002188;0.001343"
188,7,48,"0.000000;0.081119;0.001497;0.000000;0.000000;0.000000;0.000000;0.917384;0.000000;0.000000;0.000000;0.000000"
189,8,37,"0.001176;0.000000;0.000000;0.000000;0.003291;0.000000;0.000000;0.001536;0.940521;0.000000;0.048996;0.004480"
190,9,82,"0.000000;0.000210;0.000000;0.000000;0.000000;0.111798;0.000000;0.001666;0.002026;0.881675;0.000000;0.002625"
191,10,163,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.028381;0.000000;0.971619;0.000000"
192,11,79,"0.003277;0.000309;0.000337;0.106191;0.005647;0.000360;0.001965;0.003673;0.001653;0.001750;0.000000;0.874839"
193,0,148,"0.873624;0.001691;0.000498;0.000000;0.000000;0.001507;0.115751;0.001814;0.003576;0.001343;0.000000;0.000195"
194,1,66,"0.003004;0.949039;0.001207;0.000000;0.004250;0.003322;0.006077;0.022140;0.002440;0.002382;0.001125;0.005014"
195,2,25,"0.001341;0.000000;0.956454;0.000000;0.000000;0.000000;0.042205;0.000000;0.000000;0.000000;0.000000;0.000000"
196,3,75,"0.002975;0.001580;0.001981;0.942505;0.001780;0.003063;0.035719;0.002789;0.001542;0.001197;0.002393;0.002476"
197,4,66,"0.053378;0.002507;0.002151;0.000000;0.937083;0.001068;0.003202;0.000612;0.000000;0.000000;0.000000;0.000000"
198,5,45,"0.005841;0.078945;0.004294;0.005313;0.000000;0.875411;0.003541;0.005739;0.001926;0.003187;0.015805;0.000000"
199,6,178,"0.000000;0.000000;0.000000;0.000000;0.000000;0.074511;0.925489;0.000000;0.000000;0.000000;0.000000;0.000000"
200,7,249,"0.000223;0.001300;0.000906;0.000845;0.000448;0.000729;0.032211;0.962036;0.000582;0.000378;0.000000;0.000342"
201,8,72,"0.000000;0.000000;0.000796;0.003142;0.001160;0.002050;0.044125;0.005418;0.940919;0.000000;0.002389;0.000000"
202,9,46,"0.053187;0.000556;0.000000;0.000000;0.000477;0.000000;0.001338;0.001432;0.000000;0.940979;0.000000;0.002031"
203,10,52,"0.001804;0.000000;0.000000;0.002878;0.001373;0.000000;0.000000;0.000000;0.000846;0.000000;0.947511;0.045588"
204,11,75,"0.001376;0.004246;0.000849;0.001309;0.000000;0.000000;0.001222;0.000000;0.112541;0.000410;0.005431;0.872616"
205,0,241,"0.943753;0.001953;0.001801;0.003493;0.004266;0.003149;0.001600;0.002057;0.002134;0.003508;0.002010;0.030276"
