user_id,group_id,primary_topic,secondary_topic,activity_level,planned_events
124,3,3,2,0.729774,81
125,4,4,1,0.572097,63
126,5,5,8,0.510608,76
127,6,6,3,0.391220,35
128,7,7,11,0.459325,23
129,8,8,0,0.431856,40
130,9,9,11,0.825351,217
131,10,10,1,0.680906,230
132,11,11,2,0.411250,39
133,0,0,9,0.556649,55
134,1,1,5,0.562012,56
135,2,2,1,1.282949,918
136,3,3,7,1.089444,506
137,4,4,2,0.867166,204
138,5,5,9,0.532846,65
139,6,6,0,0.688126,196
140,7,7,11,0.683874,161
141,8,8,9,0.388332,61
142,9,9,5,0.867498,100
143,10,10,4,0.460104,29
144,11,11,2,0.395887,73
145,0,0,1,0.766246,233
146,1,1,6,1.244515,446
147,2,2,1,0.418333,56
148,3,3,5,0.871640,166
149,4,4,2,0.363746,37
150,5,5,6,0.444868,39
151,6,6,1,0.677779,234
152,7,7,4,0.666482,154
153,8,8,4,0.497421,62
154,9,9,7,0.442861,50
155,10,10,4,0.459100,79
156,11,11,6,0.375338,66
157,0,0,3,0.750322,224
158,1,1,3,0.363444,76
159,2,2,0,0.399084,64
160,3,3,5,0.599333,22
161,4,4,2,0.357581,29
162,5,5,6,0.548522,23
163,6,6,11,0.368136,59
164,7,7,1,0.543257,26
165,8,8,1,0.861566,86
166,9,9,10,0.589282,29
167,10,10,7,0.431391,75
168,11,11,2,0.476040,61
169,0,0,8,0.751377,117
170,1,1,9,0.439530,22
171,2,2,9,0.492387,78
172,3,3,7,0.887265,226
173,4,4,7,0.445751,63
174,5,5,9,0.478570,28
175,6,6,0,0.795125,118
176,7,7,9,0.509220,63
177,8,8,9,0.386864,47
178,9,9,2,0.658792,240
179,10,10,1,0.783552,99
180,11,11,2,0.469175,57
181,0,0,10,0.354113,52
182,1,1,4,0.554924,45
183,2,2,10,0.714939,218
184,3,3,4,0.441036,21
185,4,4,3,0.407986,64
186,5,5,11,0.364162,30
187,6,6,2,0.434773,67
188,7,7,1,0.516370,48
189,8,8,10,0.472498,37
190,9,9,5,0.663134,82
191,10,10,8,0.894041,163
192,11,11,3,0.457777,79
193,0,0,6,0.657438,148
194,1,1,7,0.432758,66
195,2,2,6,0.386509,25
196,3,3,6,0.481952,75
197,4,4,0,0.562556,66
198,5,5,1,0.404611,45
199,6,6,5,0.656279,178
200,7,7,6,0.844847,249
201,8,8,6,0.479860,72
202,9,9,0,0.404229,46
203,10,10,11,0.551578,52
204,11,11,8,0.372511,75
205,0,0,11,0.704990,241
206,1,1,2,0.432238,61
207,2,2,0,0.869473,167
208,3,3,4,0.401367,68
209,4,4,2,0.839455,196
210,5,5,2,0.745338,180
211,6,6,5,0.541215,54
212,7,7,11,0.851171,245
213,8,8,11,0.701201,93
214,9,9,2,0.506370,33
215,10,10,3,0.803678,202
216,11,11,5,0.385112,42
217,0,0,2,0.766733,170
218,1,1,6,0.676606,227
219,2,2,7,0.375915,66
220,3,3,4,0.393520,39
221,4,4,6,0.425801,63
222,5,5,11,0.822740,182
223,6,6,11,0.475069,45
224,7,7,3,0.374016,47
225,8,8,1,0.563271,25
226,9,9,3,0.417440,39
227,10,10,11,0.723055,246
228,11,11,10,0.708836,184
229,0,0,4,0.481936,75
230,1,1,8,0.493399,73
231,2,2,4,0.501600,37
232,3,3,2,0.656406,112
233,4,4,8,0.780437,181
234,5,5,4,0.581082,33
235,6,6,0,0.452766,55
236,7,7,5,0.537469,53
237,8,8,1,0.361310,48
238,9,9,6,0.529865,68
239,10,10,4,0.462159,50
240,11,11,2,0.482846,43
241,0,0,9,0.514200,40
242,1,1,0,0.447881,29
243,2,2,3,0.535994,71
244,3,3,5,0.563138,47
245,4,4,7,0.504007,41
246,5,5,11,0.424807,56
247,6,6,7,0.545384,36
248,7,7,9,0.570452,21
249,8,8,9,0.461834,28
250,9,9,3,0.571858,60
251,10,10,1,0.481156,39
252,11,11,0,0.392613,20
253,0,0,4,0.816454,210
254,1,1,5,0.352307,41
255,2,2,9,0.405389,57
256,3,3,11,0.512740,36
257,4,4,8,0.900671,530
258,5,5,6,0.899864,104
259,6,6,4,0.586955,77
260,7,7,4,0.474177,76
261,8,8,6,0.500036,29
262,9,9,7,0.565523,24
263,10,10,3,0.836946,172
264,11,11,10,0.362428,27
265,0,0,6,0.423604,53
266,1,1,9,0.725691,201
267,2,2,1,0.828277,80
268,3,3,8,0.674787,231
269,4,4,3,0.410069,74
270,5,5,8,0.511206,42
271,6,6,9,0.418769,77
272,7,7,11,0.821024,160
273,8,8,11,0.587748,65
274,9,9,11,0.398831,53
275,10,10,5,0.458029,24
276,11,11,1,0.535172,20
277,0,0,5,0.474940,79
278,1,1,4,0.590636,75
279,2,2,10,0.597883,32
280,3,3,11,0.404683,63
281,4,4,9,0.788092,142
282,5,5,0,0.520951,75
283,6,6,8,0.579358,22
284,7,7,5,0.449264,64
285,8,8,0,0.577845,42
286,9,9,8,0.573250,75
287,10,10,11,0.561542,59
288,11,11,9,0.828387,236
289,0,0,8,0.412875,39
290,1,1,4,0.493428,61
291,2,2,10,0.404085,41
292,3,3,5,0.701722,212
293,4,4,1,0.750984,84
294,5,5,2,0.585118,75
295,6,6,0,0.381138,25
296,7,7,4,0.514043,68
297,8,8,10,0.483019,66
298,9,9,8,0.900999,769
299,10,10,1,0.542226,56
300,11,11,4,0.516408,64
301,0,0,1,1.064622,997
302,1,1,5,0.575693,50
303,2,2,1,0.372781,32
304,3,3,9,0.495278,78
305,4,4,3,0.529937,58
306,5,5,10,0.521744,47
307,6,6,11,0.899727,163
308,7,7,9,1.333801,763
309,8,8,4,0.693065,106
310,9,9,4,0.421764,61
311,10,10,11,0.724971,191
312,11,11,8,1.241821,387
313,0,0,8,0.675016,140
314,1,1,11,0.422993,54
315,2,2,11,0.440151,69
316,3,3,11,0.489360,75
317,4,4,7,0.487263,37
318,5,5,2,0.462676,79
319,6,6,11,0.839777,110
320,7,7,8,0.778788,222
321,8,8,9,0.458543,41
322,9,9,11,1.126210,320
323,10,10,5,0.590904,29
324,11,11,9,0.390285,32
325,0,0,11,0.369863,35
326,1,1,3,0.379014,67
327,2,2,3,0.526459,55
328,3,3,1,0.893365,224
329,4,4,7,0.561998,70
330,5,5,8,0.371469,31
331,6,6,0,0.476024,40
332,7,7,11,1.221537,285
333,8,8,9,0.480309,56
334,9,9,2,0.556214,75
335,10,10,6,0.419793,53
336,11,11,4,0.465818,39
337,0,0,3,0.498828,46
338,1,1,7,0.367325,23
339,2,2,4,0.482109,33
340,3,3,11,0.816829,225
341,4,4,1,0.426838,77
342,5,5,2,0.558545,53
343,6,6,11,0.701604,99
344,7,7,2,0.596286,41
345,8,8,3,0.531663,35
346,9,9,4,0.593499,75
347,10,10,7,0.445378,60
348,11,11,9,0.793868,121
349,0,0,8,0.594505,25
350,1,1,4,0.835984,93
351,2,2,3,0.573354,47
352,3,3,8,0.466378,50
353,4,4,10,0.597628,72
354,5,5,4,0.409297,75
355,6,6,7,0.556482,76
356,7,7,11,0.672835,163
357,8,8,4,0.582357,37
358,9,9,0,0.510084,70
359,10,10,5,0.834062,103
360,11,11,0,0.439262,36
361,0,0,4,0.579188,36
362,1,1,4,0.425917,29
363,2,2,5,0.442774,72
364,3,3,4,0.716766,202
365,4,4,6,0.578271,39
366,5,5,4,0.717867,190
367,6,6,9,0.724975,231
368,7,7,11,0.733859,250
369,8,8,11,0.730391,130
370,9,9,7,0.497246,65
371,10,10,8,0.382627,32
372,11,11,2,0.672039,94
373,0,0,6,1.273529,311
374,1,1,2,0.870477,188
375,2,2,1,0.372790,33
376,3,3,10,0.591036,77
377,4,4,11,0.431087,20
378,5,5,9,0.595644,64
379,6,6,5,0.416790,67
380,7,7,5,0.371801,20
381,8,8,7,0.550380,29
382,9,9,1,0.412064,30
383,10,10,8,0.718659,101
384,11,11,0,0.460189,57
385,0,0,5,1.031610,829
386,1,1,6,0.682105,216
387,2,2,9,0.518142,76
388,3,3,7,0.863377,231
389,4,4,5,0.592577,71
390,5,5,6,0.415392,49
391,6,6,11,0.423848,68
392,7,7,4,0.550045,66
393,8,8,5,1.041457,956
394,9,9,8,0.433967,38
395,10,10,8,0.827755,209
396,11,11,8,0.735259,221
397,0,0,5,0.357392,53
398,1,1,6,0.458422,23
399,2,2,4,0.433841,55
400,3,3,8,0.696428,227
401,4,4,10,0.582387,32
402,5,5,3,0.793064,199
403,6,6,1,0.693087,138
404,7,7,8,0.579588,44
405,8,8,5,0.705879,223
406,9,9,5,0.510058,27
407,10,10,7,0.852516,165
408,11,11,10,0.470821,50
409,0,0,4,0.651031,219
410,1,1,6,0.379820,60
411,2,2,10,0.517151,29
412,3,3,8,0.593449,47
413,4,4,11,0.399146,22
414,5,5,8,0.529945,32
415,6,6,4,0.652331,143
416,7,7,10,0.427578,37
417,8,8,6,0.588454,42
418,9,9,11,0.664425,212
419,10,10,4,0.476211,61
420,11,11,1,0.846954,243
421,0,0,9,0.450771,75
422,1,1,5,0.847289,194
423,2,2,6,0.376755,20
424,3,3,4,0.728598,110
425,4,4,11,0.593862,78
426,5,5,0,0.359900,20
427,6,6,10,0.684274,147
428,7,7,2,0.556815,72
429,8,8,1,0.571983,48
430,9,9,7,0.442181,26
431,10,10,6,0.520264,57
432,11,11,3,0.881332,95
433,0,0,7,0.563191,51
434,1,1,2,0.866155,134
435,2,2,0,0.382926,29
436,3,3,5,0.364708,39
437,4,4,0,0.353174,43
438,5,5,0,0.424967,40
439,6,6,8,0.396566,68
440,7,7,10,0.478419,37
441,8,8,9,0.388926,72
442,9,9,0,0.433724,67
443,10,10,3,0.520720,29
444,11,11,0,1.211520,931
445,0,0,6,0.592631,39
446,1,1,2,0.363481,70
447,2,2,0,0.482109,55
448,3,3,1,0.571768,24
449,4,4,10,0.509130,29
450,5,5,1,0.419332,37
451,6,6,1,1.353744,447
452,7,7,8,0.579337,80
453,8,8,11,0.529681,63
454,9,9,11,0.522368,31
455,10,10,5,0.545689,57
456,11,11,9,0.503970,57
457,0,0,8,0.823648,126
458,1,1,6,0.403958,58
459,2,2,8,1.349078,977
460,3,3,1,0.569558,75
461,4,4,0,0.491977,72
462,5,5,0,0.446782,34
463,6,6,11,0.797341,230
464,7,7,4,0.509078,28
465,8,8,1,0.380918,71
466,9,9,6,0.547702,50
467,10,10,2,0.387400,79
468,11,11,9,0.492813,23
469,0,0,9,0.419992,55
470,1,1,7,0.361535,49
471,2,2,4,0.413793,68
472,3,3,7,0.492408,65
473,4,4,8,0.412245,66
474,5,5,11,0.450118,22
475,6,6,8,0.393895,77
476,7,7,3,0.566543,64
477,8,8,11,0.492745,50
478,9,9,11,0.556699,66
479,10,10,11,0.410726,47
480,11,11,6,0.704916,106
481,0,0,9,0.454622,61
482,1,1,11,0.377693,32
483,2,2,10,0.594105,80
484,3,3,6,0.877832,197
485,4,4,7,0.371033,58
486,5,5,9,0.567435,20
487,6,6,11,0.816128,102
488,7,7,0,0.522937,40
489,8,8,11,0.388946,77
490,9,9,4,0.423620,74
491,10,10,11,0.688404,102
492,11,11,0,1.130402,916
493,0,0,7,0.594717,77
494,1,1,9,0.589931,80
495,2,2,3,0.536116,49
496,3,3,6,0.499773,47
497,4,4,5,0.565383,42
498,5,5,1,0.509675,56
499,6,6,4,0.450267,49
500,7,7,9,0.599954,25
501,8,8,11,0.705779,248
502,9,9,11,0.658410,180
503,10,10,11,0.592123,44
504,11,11,10,0.358995,79
505,0,0,9,0.577016,49
506,1,1,7,0.355417,75
507,2,2,4,0.365406,68
508,3,3,11,0.690226,168
509,4,4,9,0.499656,33
510,5,5,11,0.495173,55
511,6,6,7,0.396283,52
512,7,7,6,0.456157,50
513,8,8,9,0.786740,154
514,9,9,5,0.499406,49
515,10,10,8,0.510087,32
516,11,11,6,0.495044,80
517,0,0,4,0.397692,58
518,1,1,4,0.532197,64
519,2,2,9,0.467952,22
520,3,3,8,0.471664,35
521,4,4,8,0.494210,65
522,5,5,9,0.744042,241
523,6,6,10,0.664452,165
524,7,7,2,0.440830,30
525,8,8,11,0.513228,60
526,9,9,7,0.572067,20
527,10,10,3,0.503894,65
528,11,11,0,0.425445,25
529,0,0,9,0.430022,61
530,1,1,10,0.389055,70
531,2,2,3,0.445409,44
532,3,3,7,0.468125,51
533,4,4,1,0.742008,104
534,5,5,11,1.095467,584
535,6,6,1,0.368013,28
536,7,7,8,0.450239,34
537,8,8,7,0.369825,42
538,9,9,5,0.682961,197
539,10,10,5,0.449359,24
540,11,11,6,0.754534,90
541,0,0,3,0.577427,25
542,1,1,0,0.415520,35
543,2,2,4,1.159249,821
544,3,3,11,0.868210,163
545,4,4,7,0.754249,237
546,5,5,7,0.528538,60
547,6,6,10,0.466867,30
548,7,7,1,0.364552,45
549,8,8,3,0.537610,56
550,9,9,11,0.658581,213
551,10,10,0,0.536043,69
552,11,11,3,1.260976,937
553,0,0,7,0.514745,30
554,1,1,10,0.360083,29
555,2,2,10,0.526360,45
556,3,3,11,0.599363,68
557,4,4,1,1.009236,578
558,5,5,8,0.477713,20
559,6,6,7,0.489483,26
560,7,7,10,0.564044,58
561,8,8,3,0.585057,30
562,9,9,5,0.571634,51
563,10,10,11,0.411032,28
564,11,11,0,0.462997,34
565,0,0,10,0.516636,35
566,1,1,2,0.596896,67
567,2,2,5,0.470837,63
568,3,3,5,0.452819,29
569,4,4,6,0.518285,77
570,5,5,10,0.366127,66
571,6,6,9,0.453877,41
572,7,7,2,0.502409,65
573,8,8,3,0.450071,52
574,9,9,4,0.527040,68
575,10,10,7,0.534205,40
576,11,11,2,0.566281,58
577,0,0,9,0.599331,63
578,1,1,11,0.488727,47
579,2,2,9,0.387321,36
580,3,3,10,0.574831,22
581,4,4,5,0.550626,74
582,5,5,7,0.381855,74
583,6,6,4,0.413180,44
584,7,7,5,0.517826,34
585,8,8,5,0.485722,42
586,9,9,8,0.725648,182
587,10,10,3,0.369949,33
588,11,11,0,0.444016,22
589,0,0,5,0.571056,44
590,1,1,7,0.407403,58
591,2,2,1,0.535942,24
592,3,3,9,0.454278,21
593,4,4,0,0.993047,851
594,5,5,8,0.351449,78
595,6,6,8,0.654776,211
596,7,7,2,0.822133,190
597,8,8,3,0.576250,77
598,9,9,3,0.418778,39
599,10,10,4,1.133780,294
600,11,11,6,0.691193,157
601,0,0,3,0.546160,25
602,1,1,10,0.453980,75
603,2,2,3,0.532480,33
604,3,3,2,0.594044,38
605,4,4,6,0.429518,54
606,5,5,2,0.425188,65
607,6,6,3,0.799136,130
608,7,7,11,0.418755,69
609,8,8,2,0.464138,49
610,9,9,1,0.597645,56
611,10,10,7,0.496690,21
612,11,11,4,0.774280,96
613,0,0,10,0.823221,82
614,1,1,11,0.532337,61
615,2,2,1,0.570328,57
616,3,3,6,0.446163,24
617,4,4,7,0.411666,67
618,5,5,2,0.415127,53
619,6,6,11,0.540822,46
620,7,7,0,0.442689,24
621,8,8,2,0.453939,54
622,9,9,0,0.727381,234
623,10,10,8,0.571070,68
624,11,11,3,0.964553,921
625,0,0,3,0.356697,45
626,1,1,8,1.347665,266
627,2,2,3,0.873176,100
628,3,3,1,0.409538,55
629,4,4,6,0.442853,45
630,5,5,9,0.595074,47
631,6,6,7,0.415349,58
632,7,7,3,0.694414,242
633,8,8,0,0.450498,20
634,9,9,1,0.494775,29
635,10,10,5,0.758878,110
636,11,11,9,0.433422,55
637,0,0,6,0.562229,63
638,1,1,11,0.397403,43
639,2,2,4,0.500984,71
640,3,3,0,0.438278,65
641,4,4,9,0.424664,41
642,5,5,6,0.667778,239
643,6,6,3,0.521388,80
644,7,7,2,0.694049,186
645,8,8,5,0.518330,45
646,9,9,4,0.487156,22
647,10,10,5,0.401286,79
648,11,11,3,0.498311,58
649,0,0,10,0.534914,42
650,1,1,3,0.409808,41
651,2,2,8,0.363285,56
652,3,3,4,0.531742,32
653,4,4,11,0.390338,28
654,5,5,7,0.552020,68
655,6,6,1,0.729542,127
656,7,7,3,0.549100,75
657,8,8,4,0.411726,26
658,9,9,6,0.545758,25
659,10,10,9,0.375900,33
660,11,11,4,0.895283,204
661,0,0,5,0.451258,28
662,1,1,7,0.570316,68
663,2,2,0,0.584089,30
664,3,3,0,0.864022,220
665,4,4,11,0.591015,29
666,5,5,7,0.433508,60
667,6,6,7,0.432432,54
668,7,7,1,0.535597,45
669,8,8,5,0.408192,57
670,9,9,2,0.467278,39
671,10,10,3,0.435499,61
672,11,11,6,0.474655,51
673,0,0,6,0.410172,61
674,1,1,2,0.486184,36
675,2,2,3,0.413322,57
676,3,3,10,0.849256,206
677,4,4,10,0.365436,20
678,5,5,4,0.519232,63
679,6,6,11,0.380787,62
680,7,7,0,0.491637,45
681,8,8,0,0.583591,27
682,9,9,3,0.571604,60
683,10,10,11,0.755262,186
684,11,11,8,0.561647,42
685,0,0,5,0.474157,66
686,1,1,5,0.423694,26
687,2,2,7,0.465144,26
688,3,3,5,0.504155,42
689,4,4,2,0.533536,66
690,5,5,4,0.532965,69
691,6,6,10,0.353163,30
692,7,7,8,0.438738,39
693,8,8,10,0.508722,39
694,9,9,8,0.371153,67
695,10,10,1,0.375527,45
696,11,11,10,0.527331,28
697,0,0,7,0.382347,51
698,1,1,3,0.369495,65
699,2,2,11,0.748125,107
700,3,3,1,0.598795,21
701,4,4,6,0.455654,66
702,5,5,4,0.418823,55
703,6,6,3,0.860903,233
704,7,7,1,0.467843,62
705,8,8,11,0.551828,76
706,9,9,4,0.459747,35
707,10,10,3,0.589631,69
708,11,11,2,0.509418,38
709,0,0,4,0.460240,49
710,1,1,5,0.472023,22
711,2,2,10,0.376737,54
712,3,3,5,0.893903,202
713,4,4,2,0.476122,21
714,5,5,9,0.528682,46
715,6,6,8,0.557954,26
716,7,7,1,0.741049,179
717,8,8,0,0.822824,81
718,9,9,5,0.824252,204
719,10,10,2,0.584699,67
720,11,11,9,0.475700,80
721,0,0,3,0.522432,41
722,1,1,7,0.399912,31
723,2,2,9,0.374798,33
724,3,3,8,0.399411,60
725,4,4,7,0.677968,163
726,5,5,6,0.539171,39
727,6,6,5,0.813644,152
728,7,7,11,0.456308,43
729,8,8,11,0.565943,74
730,9,9,2,0.533298,40
731,10,10,3,0.400023,22
732,11,11,2,0.664807,169
733,0,0,6,0.593695,33
734,1,1,4,0.757535,244
735,2,2,9,0.701437,100
736,3,3,6,0.860942,246
737,4,4,7,0.862440,149
738,5,5,7,0.530693,20
739,6,6,10,0.538868,66
740,7,7,10,0.483362,67
741,8,8,4,0.420269,66
742,9,9,7,0.549981,72
743,10,10,3,0.395356,66
744,11,11,0,0.665167,107
745,0,0,1,0.438371,46
746,1,1,2,0.682187,183
747,2,2,0,0.757008,202
748,3,3,8,0.843699,85
749,4,4,0,0.552548,63
750,5,5,0,0.536571,30
751,6,6,9,0.593544,45
752,7,7,10,0.896848,219
753,8,8,3,0.499497,26
754,9,9,3,0.559134,22
755,10,10,2,0.873967,127
756,11,11,6,0.507235,62
757,0,0,1,0.759566,155
758,1,1,11,0.414978,50
759,2,2,4,0.548256,52
760,3,3,11,0.451916,30
761,4,4,0,0.488792,79
762,5,5,2,0.571632,30
763,6,6,7,0.493228,33
764,7,7,1,0.674731,237
765,8,8,9,1.114435,964
766,9,9,1,0.545405,76
767,10,10,4,0.526434,42
768,11,11,10,0.810526,185
769,0,0,10,0.654376,189
770,1,1,8,0.403366,64
771,2,2,9,1.115521,877
772,3,3,5,0.362694,22
773,4,4,1,0.383952,44
774,5,5,3,0.418636,24
775,6,6,1,0.373544,78
776,7,7,1,0.486657,52
777,8,8,6,0.881360,198
778,9,9,11,0.965805,250
779,10,10,7,0.585592,55
780,11,11,10,0.366192,33
781,0,0,6,0.702480,211
782,1,1,8,0.778920,83
783,2,2,1,0.591387,52
784,3,3,4,0.890754,103
785,4,4,7,0.386744,51
786,5,5,3,0.471615,31
787,6,6,7,0.891091,209
788,7,7,11,0.658083,177
789,8,8,7,1.117447,555
790,9,9,2,0.448179,73
791,10,10,3,0.711560,144
792,11,11,4,0.357778,75
793,0,0,3,1.319116,804
794,1,1,10,0.454872,78
795,2,2,10,0.381966,62
796,3,3,1,0.851147,149
797,4,4,1,0.525148,60
798,5,5,6,0.724816,121
799,6,6,7,0.443024,34
800,7,7,4,0.372579,50
801,8,8,11,0.392210,55
802,9,9,11,0.376264,25
803,10,10,2,0.511675,42
804,11,11,5,0.383803,71
805,0,0,4,0.379498,69
806,1,1,3,0.505330,67
807,2,2,9,0.821137,141
808,3,3,11,0.439557,53
809,4,4,8,0.544376,79
810,5,5,11,0.407166,39
811,6,6,11,1.085429,433
812,7,7,6,0.536946,43
813,8,8,0,0.455062,43
814,9,9,6,0.539921,60
815,10,10,7,0.557280,41
816,11,11,10,0.789818,198
817,0,0,3,0.547468,57
818,1,1,6,0.891079,166
819,2,2,7,0.852514,125
820,3,3,2,0.482476,54
821,4,4,5,0.859129,173
822,5,5,11,0.885551,222
823,6,6,0,0.374881,25
824,7,7,11,0.464940,24
825,8,8,0,0.446218,59
826,9,9,11,0.424919,60
827,10,10,8,0.749161,162
828,11,11,6,0.585547,34
829,0,0,1,0.483252,50
830,1,1,2,0.810899,143
831,2,2,10,0.663314,215
832,3,3,4,0.438274,40
833,4,4,7,0.450412,61
834,5,5,10,0.450278,43
835,6,6,8,0.478132,26
836,7,7,4,0.665047,111
837,8,8,5,0.659939,84
838,9,9,4,0.350783,51
839,10,10,5,0.549020,41
840,11,11,1,0.544551,46
841,0,0,11,0.835310,175
842,1,1,9,0.841102,147
843,2,2,6,0.883956,229
844,3,3,6,0.525134,57
845,4,4,0,0.880224,245
846,5,5,11,0.739749,180
847,6,6,4,0.599316,74
848,7,7,3,1.091101,512
849,8,8,1,0.722723,219
850,9,9,1,0.681907,107
851,10,10,3,0.520963,41
852,11,11,4,0.728304,218
853,0,0,11,0.379306,20
854,1,1,7,0.511218,30
855,2,2,9,0.368628,49
856,3,3,9,0.554625,31
857,4,4,3,0.556952,62
858,5,5,0,0.465712,23
859,6,6,11,0.519569,58
860,7,7,8,0.370082,41
861,8,8,3,0.401928,72
862,9,9,2,0.833683,179
863,10,10,3,0.372379,67
864,11,11,9,0.806996,169
865,0,0,8,0.820619,243
866,1,1,10,0.375840,45
867,2,2,1,0.375461,68
868,3,3,7,0.523518,50
869,4,4,2,0.516605,20
870,5,5,4,0.588733,22
871,6,6,5,0.550214,72
872,7,7,11,1.120955,888
873,8,8,9,0.461504,36
874,9,9,0,0.538855,24
875,10,10,6,0.737779,131
876,11,11,0,0.753542,113
877,0,0,7,0.502663,28
878,1,1,3,0.730083,121
879,2,2,3,0.356552,60
880,3,3,1,0.769303,137
881,4,4,6,0.498333,24
882,5,5,7,0.597273,59
883,6,6,5,0.507608,60
884,7,7,10,1.292920,525
885,8,8,6,0.365513,72
886,9,9,10,0.854175,207
887,10,10,0,0.416704,25
888,11,11,10,0.421179,47
889,0,0,6,0.800042,164
890,1,1,9,0.506391,47
891,2,2,3,0.824728,132
892,3,3,0,0.735570,93
893,4,4,9,0.502778,74
894,5,5,2,0.677525,226
895,6,6,5,0.815771,234
896,7,7,2,0.673018,123
897,8,8,4,0.430201,64
898,9,9,1,0.466137,48
899,10,10,4,0.426806,68
900,11,11,3,0.558876,26
901,0,0,7,1.366125,772
902,1,1,6,0.746265,199
903,2,2,4,0.489145,66
904,3,3,4,0.888791,231
905,4,4,11,1.360522,454
906,5,5,6,0.458558,41
907,6,6,2,0.403292,80
908,7,7,0,0.369476,30
909,8,8,7,0.523030,60
910,9,9,2,0.866202,223
911,10,10,2,0.583679,32
912,11,11,7,0.696104,124
913,0,0,3,0.521272,42
914,1,1,9,0.428168,53
915,2,2,11,0.385646,51
916,3,3,6,0.439944,30
917,4,4,8,0.374917,38
918,5,5,4,0.497924,75
919,6,6,4,0.352152,22
920,7,7,0,0.910992,521
921,8,8,5,0.497013,36
922,9,9,7,0.379437,66
923,10,10,8,0.431918,62
924,11,11,8,0.450432,52
925,0,0,5,0.591861,52
926,1,1,2,0.483648,42
927,2,2,11,0.382459,47
928,3,3,5,0.436654,60
929,4,4,11,0.599208,42
